taxon_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	contribution	n_ecs	n_samples
ASV_1375	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Unclassified	Unclassified	Unclassified	9	4	2
ASV_13790	Bacteria	Planctomycetota	Planctomycetes	Unclassified	Unclassified	Unclassified	Unclassified	9	7	1
ASV_13897	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea	Unclassified	9	6	1
ASV_13904	Bacteria	Verrucomicrobiota	Kiritimatiellia	113B434	Unclassified	Unclassified	Unclassified	9	7	1
ASV_14335	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Unclassified	Unclassified	9	6	1
ASV_1434	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified	Unclassified	9	6	1
ASV_14400	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomicrobium	Unclassified	9	6	1
ASV_1441	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	Unclassified	9	6	1
ASV_14459	Bacteria	Pseudomonadota	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	Salinisphaera	Unclassified	9	7	1
ASV_14499	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	Unclassified	9	6	1
ASV_14502	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified	Unclassified	9	6	1
ASV_14563	Bacteria	Bacteroidota	Bacteroidia	Unclassified	Unclassified	Unclassified	Unclassified	9	6	1
ASV_14594	Bacteria	Chloroflexota	Dehalococcoidia	SAR202_clade	Unclassified	Unclassified	Unclassified	9	5	1
ASV_14609	Bacteria	Pseudomonadota	Gammaproteobacteria	UBA10353_marine_group	Unclassified	Unclassified	Unclassified	9	6	1
ASV_14682	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	Unclassified	Unclassified	9	7	1
ASV_14693	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Dokdonia	Unclassified	9	7	1
ASV_14810	Bacteria	Pseudomonadota	Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	9	6	1
ASV_14824	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Unclassified	Unclassified	9	6	1
ASV_14964	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Unclassified	Unclassified	9	6	1
ASV_15076	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Unclassified	Unclassified	9	6	1
ASV_15117	Bacteria	Thermodesulfobacteriota	Desulfuromonadia	Bradymonadales	Unclassified	SKP-2	Unclassified	9	6	1
ASV_15180	Bacteria	Thermodesulfobacteriota	Desulfuromonadia	Bradymonadales	Unclassified	Unclassified	Unclassified	9	6	1
ASV_15440	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	Unclassified	9	5	1
ASV_15519	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaera	Unclassified	9	6	1
ASV_15618	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Unclassified	Unclassified	9	6	1
ASV_15695	Bacteria	Planctomycetota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	9	7	1
ASV_15739	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Unclassified	Unclassified	9	6	1
ASV_15842	Bacteria	Pseudomonadota	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	Salinisphaera	Unclassified	9	7	1
ASV_1585	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	Unclassified	9	5	1
ASV_15904	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	Unclassified	9	5	1
ASV_15910	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Unclassified	Unclassified	9	6	1
ASV_15942	Bacteria	Bacteroidota	Bacteroidia	Unclassified	Unclassified	Unclassified	Unclassified	9	7	1
ASV_16081	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	Unclassified	9	5	1
ASV_1641	Bacteria	Bacteroidota	Bacteroidia	Unclassified	Unclassified	Unclassified	Unclassified	9	6	1
ASV_1749	Bacteria	Pseudomonadota	Gammaproteobacteria	Beggiatoales	Leucotrichaceae	Unclassified	Unclassified	9	7	1
ASV_1793	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	Unclassified	9	6	1
ASV_1809	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	Unclassified	9	5	1
ASV_198	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Aureispira	Unclassified	9	7	1
ASV_2074	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	9	6	1
ASV_2133	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	9	7	1
ASV_2183	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus	Unclassified	9	5	1
ASV_2262	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified	Unclassified	9	7	1
ASV_2295	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	LD29	Unclassified	9	7	1
ASV_2297	Bacteria	Bacillota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	9	7	1
ASV_2343	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	Unclassified	9	5	1
ASV_2391	Bacteria	Pseudomonadota	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	Salinisphaera	Unclassified	9	7	1
ASV_2436	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella	Unclassified	9	6	1
ASV_248	Bacteria	Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	Aquicella	Unclassified	9	6	1
ASV_255	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Unclassified	Unclassified	Unclassified	9	6	1
ASV_2567	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Simkaniaceae	Unclassified	Unclassified	9	5	1
ASV_2624	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Unclassified	Unclassified	9	7	1
ASV_2648	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiohalobacter	Unclassified	9	7	1
ASV_269	Bacteria	Bacteroidota	Bacteroidia	Unclassified	Unclassified	Unclassified	Unclassified	9	6	1
ASV_2713	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Clade_I	Clade_Ia	Unclassified	9	6	1
ASV_28	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	DEV007	Unclassified	Unclassified	9	7	1
ASV_2833	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Unclassified	Unclassified	Unclassified	9	6	1
ASV_2934	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Dokdonia	Unclassified	9	7	1
ASV_3035	Bacteria	Pseudomonadota	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	Salinisphaera	Unclassified	9	7	1
ASV_3046	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Unclassified	Unclassified	9	6	1
ASV_3057	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	Unclassified	9	5	1
ASV_3085	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Unclassified	Unclassified	9	6	1
ASV_3094	Bacteria	Chloroflexota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	9	5	1
ASV_3141	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Unclassified	Unclassified	9	7	1
ASV_315	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Unclassified	Unclassified	9	6	1
ASV_325	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera	Unclassified	9	7	1
ASV_3296	Bacteria	Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	Aquicella	Unclassified	9	6	1
ASV_3367	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified	Unclassified	9	6	1
ASV_338	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	DEV007	Unclassified	Unclassified	9	7	1
ASV_3412	Bacteria	Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	Aquicella	Unclassified	9	6	1
ASV_3685	Bacteria	Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Unclassified	Unclassified	9	6	1
ASV_3713	Bacteria	Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Unclassified	Unclassified	9	6	1
ASV_3733	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Unclassified	Unclassified	9	6	1
ASV_3796	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	Unclassified	Unclassified	9	6	1
ASV_383	Bacteria	Pseudomonadota	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	Salinisphaera	Unclassified	9	7	1
ASV_3906	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified	Unclassified	9	6	1
ASV_3923	Bacteria	Pseudomonadota	Gammaproteobacteria	Salinisphaerales	Nevskiaceae	Unclassified	Unclassified	9	6	1
ASV_3935	Bacteria	SAR324_clade(Marine_group_B)	Unclassified	Unclassified	Unclassified	Candidatus_Nitrosoarchaeum	Unclassified	9	6	1
ASV_3952	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Unclassified	Unclassified	9	6	1
ASV_4041	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Unclassified	Unclassified	Unclassified	9	7	1
ASV_4087	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Unclassified	Unclassified	9	6	1
ASV_4256	Bacteria	Thermodesulfobacteriota	Desulfuromonadia	Bradymonadales	Unclassified	SKP-2	Unclassified	9	6	1
